country,project-name,unit-name,capacity-(mw),status,reactor-type,model,owner,operator,lat,lng,location-accuracy,state/province,region,url,areas-subnat-sat-display
United States,South Texas nuclear power plant,3,1358.0,cancelled,advanced boiling water reactor,unknown,Houston Light & Power CO [100%],,28.79501,-96.0481,exact,Texas,Americas,https://www.gem.wiki/South_Texas_nuclear_power_plant,"Texas, United States"
United States,South Texas nuclear power plant,4,1350.0,cancelled,advanced boiling water reactor,unknown,Houston Light & Power CO [100%],,28.79501,-96.0481,exact,Texas,Americas,https://www.gem.wiki/South_Texas_nuclear_power_plant,"Texas, United States"
Ukraine,South Ukraine nuclear power plant,1,1000.0,operating,pressurized water reactor,VVER V-302,"SE NNEGC ""Energoatom"" [100%]","SE NNEGC ""Energoatom""",47.81201,31.2201,exact,Mykolaiv Oblast,Europe,https://www.gem.wiki/South_Ukraine_nuclear_power_plant,"Mykolaiv Oblast, Ukraine"
Ukraine,South Ukraine nuclear power plant,2,1000.0,operating,pressurized water reactor,VVER V-338,"SE NNEGC ""Energoatom"" [100%]","SE NNEGC ""Energoatom""",47.81201,31.2201,exact,Mykolaiv Oblast,Europe,https://www.gem.wiki/South_Ukraine_nuclear_power_plant,"Mykolaiv Oblast, Ukraine"
Ukraine,South Ukraine nuclear power plant,3,1000.0,operating,pressurized water reactor,VVER V-320,"SE NNEGC ""Energoatom"" [100%]","SE NNEGC ""Energoatom""",47.81201,31.2201,exact,Mykolaiv Oblast,Europe,https://www.gem.wiki/South_Ukraine_nuclear_power_plant,"Mykolaiv Oblast, Ukraine"
Ukraine,South Ukraine nuclear power plant,4,1250.0,shelved,pressurized water reactor,AP-1000,"SE NNEGC ""Energoatom"" [100%]","SE NNEGC ""Energoatom""",47.81201,31.2201,exact,Mykolaiv Oblast,Europe,https://www.gem.wiki/South_Ukraine_nuclear_power_plant,"Mykolaiv Oblast, Ukraine"
Russia,South Urals nuclear power plant,1,1220.0,cancelled,fast breeder reactor,BN-1200,Rosatom [100%],Rosenergoatom,55.7517,60.9037,exact,Chelyabinsk Oblast,Europe,https://www.gem.wiki/South_Urals_nuclear_power_plant,"Chelyabinsk Oblast, Russia"
Russia,South Urals nuclear power plant,2,1220.0,cancelled,fast breeder reactor,BN-1200,Rosatom [100%],Rosenergoatom,55.7517,60.9037,exact,Chelyabinsk Oblast,Europe,https://www.gem.wiki/South_Urals_nuclear_power_plant,"Chelyabinsk Oblast, Russia"
Russia,South Urals nuclear power plant,3,1220.0,cancelled,fast breeder reactor,BN-1200,Rosatom [100%],Rosenergoatom,55.7517,60.9037,exact,Chelyabinsk Oblast,Europe,https://www.gem.wiki/South_Urals_nuclear_power_plant,"Chelyabinsk Oblast, Russia"
Germany,Stade nuclear power plant,--,672.0,retired,pressurized water reactor,unknown,Kernkraftwerk Stade GMBH [100%],PreussenElektra,53.6197,9.5308,exact,Lower Saxony,Europe,https://www.gem.wiki/Stade_nuclear_power_plant,"Lower Saxony, Germany"
