,Unnamed: 0,GEM Mine ID,name,url,status,capacity_prod,capacity_output,owners,est_emissions,lng,lat,tracker,goget_id,status_year,subnational,Climate TRACE Field Estimate Year,Climate TRACE Field Emissions Factor,areas,Fuel description,Reserves Classification (Converted),Quantity (Converted),Units (Converted),Upstream methane intensity (kg/boe),Reserves Data Year,Quantity (boe),reserves_emissions,GEM Methane Plume ID,Satellite Data Provider,Instrument,date,Provider ID,Satellite Data Provider Ref,plume_emissions,Emissions Uncertainity (kg/hr),Type of Infrastructure,Infrastructure Notes,infra_name,GEM Infrastructure Wiki,Government Well ID (Nearby),California VISTA and other Government ID Assets (Nearby),lat,infra_filter,status_legend,scaling_col
22,22,M0027,Clermont Coal Mine,https://www.gem.wiki/Clermont_mine,operating,10.85,,Clermont Coal Operations Pty Limited,0.038,-22.7201075,147.6195648,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
23,23,M0028,Collinsville Coal Mine,https://www.gem.wiki/Collinsville_Coal_mine,operating,3.583,,NC Coal Company Pty Ltd,0.013,-20.5567302,147.8148229,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
24,24,M0029,Commodore Coal Mine,https://www.gem.wiki/Commodore_mine,operating,3.507,,Downer EDI,0.012,-27.9343501,151.2554422,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
25,25,M0031,Curragh Coal Mine,https://www.gem.wiki/Curragh_Mine,operating,12.161,,Coronado Global Resources Inc,0.043,-23.493219,148.842723,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
26,26,M0032,Daunia Coal Mine,https://www.gem.wiki/Daunia_coal_project,operating,3.651,,BHP Billiton Mitsubishi Alliance Pty Ltd,0.013,-22.0410919,148.2702015,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
27,27,M0033,Dawson Complex,https://www.gem.wiki/Dawson_mine,operating,6.087,,Dawson Joint Venture,0.021,-24.6168211,150.0504833,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
28,28,M0034,Dendrobium Coal Mine,https://www.gem.wiki/Dendrobium_mine,operating,2.61,,Illawarra Coal,0.033,-34.419776,150.826135,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
29,29,M0035,Drake Coal Mine,https://www.gem.wiki/Drake_coal_mine,operating,5.312,,QCoal,0.019,-20.705189,147.812727,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
30,30,M0038,Ensham Coal Mine,https://www.gem.wiki/Ensham_mine,operating,3.91,,Sungela,0.011,-23.454464,148.497455,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
31,31,M0039,Ewington Coal Mine,https://www.gem.wiki/Ewington_mine,operating,2,,Griffin Coal Mining Company Pty Ltd,0.007,-33.3624,116.25,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
32,32,M0040,Foxleigh Coal Mine,https://www.gem.wiki/Foxleigh_coal_mine,operating,3.42,,Middlemount South Limited,0.012,-22.997778,148.803889,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
33,33,M0042,Glendell Coal Mine,https://www.gem.wiki/Glendell_coal_mine,operating,2.53,,Mt Owen Pty Limited,0.009,-32.45121527,151.0783194,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
34,34,M0043,Goonyella-Riverside Coal Mine,https://www.gem.wiki/Goonyella_Riverside_mine,operating,22.152,,BHP Billiton Mitsubishi Alliance Pty Ltd,0.078,-21.792321,147.962045,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
35,35,M0044,Gregory Crinum Coal Mines,https://www.gem.wiki/Gregory_Crinum_mine,operating,2.389,,Sojitz Blue Pty Ltd,0.012,-23.1491384,148.3875874,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
36,36,M0045,Grosvenor Coal Mine,https://www.gem.wiki/Grosvenor_coal_project,operating,1.993,,Grosvenor,0.029,-21.97420531,148.0106197,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
37,37,M0046,Hail Creek Coal Mine,https://www.gem.wiki/Hail_Creek_coal_mine,operating,10.784,,Hail Creek Coal Pty Ltd,0.038,-21.484811,148.37,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
