country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
Türkiye,Afjet geothermal power plant,--,AFJET Jeotermal Enerji Santrali,2.76,operating,2018,,,Afyon Geothermal Tourism and Trade Inc,38.8439,30.42995,exact,,,Asia,G100001050530,L100001044957,https://www.gem.wiki/Afjet_geothermal_power_plant,binary cycle
Türkiye,Agri Diyadin geothermal power plant,1,,50.0,pre-construction,,,,Zorlu Enerji Elektrik Uretim AŞ,39.54302706,43.67564981,approximate,,,Asia,G100001031230,L100001026021,https://www.gem.wiki/Agri_Diyadin_geothermal_power_plant,binary cycle
Türkiye,Agri Diyadin geothermal power plant,2,,50.0,pre-construction,,,,Zorlu Enerji Elektrik Uretim AŞ,39.54302706,43.67564981,approximate,,,Asia,G100001031231,L100001026021,https://www.gem.wiki/Agri_Diyadin_geothermal_power_plant,binary cycle
Türkiye,Agri Diyadin geothermal power plant,3,,50.0,pre-construction,,,,Zorlu Enerji Elektrik Uretim AŞ,39.54302706,43.67564981,approximate,,,Asia,G100001031232,L100001026021,https://www.gem.wiki/Agri_Diyadin_geothermal_power_plant,binary cycle
El Salvador,Ahuachapán geothermal power plant,1,Central geotérmica Ahuachapán,30.0,operating,1975,,LaGeo,LaGeo [100%],13.9202,-89.8174,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700001,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,flash steam - single
El Salvador,Ahuachapán geothermal power plant,2,Central geotérmica Ahuachapán,30.0,operating,1976,,LaGeo,LaGeo [100%],13.9202,-89.8174,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700002,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,flash steam - single
El Salvador,Ahuachapán geothermal power plant,3,Central geotérmica Ahuachapán,35.0,operating,1980,,LaGeo,LaGeo [100%],13.9202,-89.8174,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700003,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,flash steam - single
El Salvador,Ahuachapán geothermal power plant,4,Central geotérmica Ahuachapán,6.0,operating,2023,,,,13.9200001,-89.8173,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700333,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,unknown type
United States,Aidlin geothermal power plant,1,,12.0,operating,1989,,,Geysers Power Co LLC [100%],38.8339,-122.881,exact,,California,Americas,G100000700462,L100000700253,https://www.gem.wiki/Aidlin_geothermal_power_plant,unknown type
United States,Aidlin geothermal power plant,2,,12.0,operating,1989,,,Geysers Power Co LLC [100%],38.8339,-122.881,exact,,California,Americas,G100000700463,L100000700253,https://www.gem.wiki/Aidlin_geothermal_power_plant,unknown type
Kenya,Akiira One geothermal power plant,1,,70.0,pre-construction,2025,,Akiira Geothermal,Frontier Energy [100%],-0.3024,36.0805,approximate,,Nakuru,Africa,G100000700004,L100000700002,https://www.gem.wiki/Akiira_One_geothermal_power_plant,binary cycle
Kenya,Akiira One geothermal power plant,2,,70.0,pre-construction,2025,,Akiira Geothermal,Frontier Energy [100%],-0.3024,36.0805,approximate,,Nakuru,Africa,G100000700005,L100000700002,https://www.gem.wiki/Akiira_One_geothermal_power_plant,binary cycle
Türkiye,Alaşehir 1 geothermal power plant,1,Alaşehir Zorlu Hibrit Jeotermal Projesi,45.0,operating,2015,,Zorlu Enerji,Zorlu Enerji [100%],38.4002,28.4311,exact,Manisa,,Asia,G100000700007,L100000700003,https://www.gem.wiki/Alaşehir_1_geothermal_power_plant,flash steam - double
Türkiye,Alaşehir 2 geothermal power plant,,Alaşehir Zorlu Hibrit Jeotermal Projesi,19.0,construction,,,,Zorlu Enerji Elektrik Uretim AŞ,38.4002,28.4311,approximate,,Manisa,Asia,G100000700431,L100000700241,https://www.gem.wiki/Alaşehir_2_geothermal_power_plant,unknown type
Türkiye,Alaşehir 3 geothermal power plant,--,Alaşehir Zorlu Hibrit Jeotermal Projesi,50.0,pre-construction,,,,Zorlu Enerji [100%],38.4002,28.4311,approximate,,Manisa,Asia,G100000700432,L100000700242,https://www.gem.wiki/Alaşehir_3_geothermal_power_plant,unknown type
Canada,Alberta No 1 geothermal power plant,--,,10.0,pre-construction,,,,,54.84344693,-117.6494673,approximate,,,Americas,G100001031297,L100001026053,https://www.gem.wiki/Alberta_No_1_geothermal_power_plant,binary cycle
Türkiye,Alkan 2 geothermal power plant,--,,10.0,announced,,,,Zorlu Enerji [100%],38.3504,28.5206,approximate,,Manisa,Asia,G100000700433,L100000700243,https://www.gem.wiki/Alkan_2_geothermal_power_plant,unknown type
Ethiopia,Aluto Langano geothermal power plant,1,,35.0,construction,,,Ethiopian Electric Power (EEP),Ethiopian Electric Power (EEP) [100%],7.7888,38.7952,exact,,Oromia Region,Africa,G100001005193,L100000700004,https://www.gem.wiki/Aluto_Langano_geothermal_power_plant,unknown type
Ethiopia,Aluto Langano geothermal power plant,2,,35.0,construction,,,Ethiopian Electric Power (EEP),Ethiopian Electric Power (EEP) [100%],7.7888,38.7952,exact,,Oromia Region,Africa,G100000700008,L100000700004,https://www.gem.wiki/Aluto_Langano_geothermal_power_plant,unknown type
Ethiopia,Aluto Langano geothermal power plant,Pilot,,7.3,mothballed,1990,,,,7.7888,38.7952,exact,,Oromia Region,Africa,G100001048258,L100000700004,https://www.gem.wiki/Aluto_Langano_geothermal_power_plant,binary cycle
Philippines,Amacan geothermal power plant,--,,50.0,pre-construction,,,,Energy Development CORP (EDC) [100%],7.5113,125.9569,approximate,,Davao de Oro,Asia,G100000700406,L100000700225,https://www.gem.wiki/Amacan_geothermal_power_plant,unknown type
United States,Amedee Geothermal Venture 1,IND,,2.0,operating,1988,,,Amedee Gethrm Venture I LP [100%],40.3008,-120.105,exact,,California,Americas,G100000700464,L100000700254,https://www.gem.wiki/Amedee_Geothermal_Venture_1,unknown type
United States,Amedee Geothermal Venture 1,SYN,,2.0,operating,1988,,,Amedee Gethrm Venture I LP [100%],40.3008,-120.105,exact,,California,Americas,G100000700465,L100000700254,https://www.gem.wiki/Amedee_Geothermal_Venture_1,unknown type
Japan,Appi geothermal power plant,--,安比地熱株式会社,14.9,operating,2024,,,Appi Geothermal Energy Corporation,39.9038276,141.105163,exact,,,Asia,G100001031134,L100001025955,https://www.gem.wiki/Appi_geothermal_power_plant,flash steam - single
Indonesia,Arrow Lampung geothermal power plant,--,,50.0,cancelled,,,Arrow Resources Development,Arrow Resources Development [100%],-4.5846,105.3231,approximate,,Lampung,Asia,G100000700009,L100000700005,https://www.gem.wiki/Arrow_Lampung_geothermal_power_plant,unknown type
Indonesia,Atadei geothermal power plant,1,,5.0,announced,,,,PT PLN (Persero) [100%],-8.4369,123.469,approximate,,Nusa Tenggara Timur,Asia,G100000700340,L100000700198,https://www.gem.wiki/Atadei_geothermal_power_plant,unknown type
Indonesia,Atadei geothermal power plant,2,,5.0,announced,,,,PT PLN (Persero) [100%],-8.4369,123.469,approximate,,Nusa Tenggara Timur,Asia,G100000700341,L100000700198,https://www.gem.wiki/Atadei_geothermal_power_plant,unknown type
United States,Austin geothermal power plant,Pilot,,5.0,announced,2025,,,Exceed Geo Energy; Austin Energy Corp,31.82098439,-94.90413695,approximate,,,Americas,G100001031099,L100001025937,https://www.gem.wiki/Austin_geothermal_power_plant,enhanced geothermal systems (EGS)
Türkiye,Babadere 1 geothermal power plant,1,,8.0,operating,2015,,,MTN Enerji AŞ,39.61003323,26.18969404,approximate,,,Asia,G100001050531,L100001044958,https://www.gem.wiki/Babadere_1_geothermal_power_plant,binary cycle
Türkiye,Babadere 1 geothermal power plant,2,,11.8,pre-construction,,,,MTN Enerji AŞ,39.61003323,26.18969404,approximate,,,Asia,G100001050532,L100001044958,https://www.gem.wiki/Babadere_1_geothermal_power_plant,binary cycle
Philippines,Bac-Man geothermal power plant,Bacon-Manito 1.1,,55.0,operating,1993,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],13.0547,123.9678,exact,Sorsogon City,Sorsogon,Asia,G100000700010,L100000700006,https://www.gem.wiki/Bac-Man_geothermal_power_plant,flash steam - single
Philippines,Bac-Man geothermal power plant,Bacon-Manito 1.2,,55.0,operating,1993,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],13.0547,123.9678,exact,Sorsogon City,Sorsogon,Asia,G100000700011,L100000700006,https://www.gem.wiki/Bac-Man_geothermal_power_plant,flash steam - single
Philippines,Bac-Man geothermal power plant,Botong 2.2,,20.0,operating,2021,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],13.0547,123.9663,exact,Sorsogon City,Sorsogon,Asia,G100000700408,L100000700006,https://www.gem.wiki/Bac-Man_geothermal_power_plant,unknown type
Philippines,Bac-Man geothermal power plant,Cawayan 2.1,,20.0,operating,,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],13.0348,123.9369,exact,Sorsogon City,Sorsogon,Asia,G100000700407,L100000700006,https://www.gem.wiki/Bac-Man_geothermal_power_plant,unknown type
Italy,Bagnore geothermal power plant,3,"Impianto di Bagnore Cogen, Centrale geotermica Bagnore",19.0,operating,1998,,,,42.8416,11.5588,exact,,Tuscany,Europe,G100001048332,L100000700007,https://www.gem.wiki/Bagnore_geothermal_power_plant,flash steam - single
Italy,Bagnore geothermal power plant,4,"Impianto di Bagnore Cogen, Centrale geotermica Bagnore",40.0,operating,2014,,Enel Green Power,Enel Green Power [100%],42.8416,11.5588,exact,,Tuscany,Europe,G100000700012,L100000700007,https://www.gem.wiki/Bagnore_geothermal_power_plant,dry steam
Philippines,Bago Binary geothermal power plant,--,,5.6,construction,,,,Energy Development CORP (EDC),10.54079,122.8528,approximate,,,Asia,G100001050365,L100001044847,https://www.gem.wiki/Bago_Binary_geothermal_power_plant,binary cycle
Türkiye,Baklaci geothermal power plant,--,Baklacı Jeotermal Santrali,19.4,operating,2018,,,Akça Enerji AŞ,38.3707787,28.5362363,approximate,,,Asia,G100001050559,L100001044982,https://www.gem.wiki/Baklaci_geothermal_power_plant,binary cycle
United States,Baltazor geothermal power plant,--,,30.0,cancelled,,,,,41.92304261,-118.7174546,approximate,,,Americas,G100001050730,L100001045128,https://www.gem.wiki/Baltazor_geothermal_power_plant,unknown type
Indonesia,Banten geothermal power plant,--,Pembangkit Listrik Tenaga Panas Bumi Banten,110.0,pre-construction,,,PT Sintesa Green Energy,PT Sintesa Green Energy [100%],-6.326,106.1161,approximate,,Banten,Asia,G100000700013,L100000700008,https://www.gem.wiki/Banten_geothermal_power_plant,unknown type
Kenya,Baringo-Silali geothermal power plant,Silali,,100.0,pre-construction,2028,,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],0.91886,36.1834,approximate,,Baringo Province,Africa,G100000700016,L100000700009,https://www.gem.wiki/Baringo-Silali_geothermal_power_plant,unknown type
Indonesia,Baturaden geothermal power plant,1,,50.0,construction,,,,PT Nirwana Suci Abadi [89%]; PT Trinergy Mandiri International [11%],-7.3001,109.2168,approximate,,Central Java,Asia,G100000700342,L100000700199,https://www.gem.wiki/Baturaden_geothermal_power_plant,unknown type
Indonesia,Baturaden geothermal power plant,Future units,,170.0,pre-construction,2025,,,PT Nirwana Suci Abadi [89%]; PT Trinergy Mandiri International [11%],-7.3001,109.2168,approximate,,Central Java,Asia,G100000700343,L100000700199,https://www.gem.wiki/Baturaden_geothermal_power_plant,unknown type
Philippines,Baua-Sikaw geothermal power plant,--,,86.0,pre-construction,,,,Pan Pacific Power Phillippines Corp [100%],18.3822,122.1445,approximate,,Cagayan,Asia,G100000700409,L100000700226,https://www.gem.wiki/Baua-Sikaw_geothermal_power_plant,unknown type
United States,Beowawe geothermal power plant,GEN1,,17.0,operating,1985,,,Ormat Technology Inc [100%],40.5547,-116.6175,exact,,Nevada,Americas,G100000700466,L100000700255,https://www.gem.wiki/Beowawe_geothermal_power_plant,unknown type
United States,Beowawe geothermal power plant,GEN2,,4.0,operating,2011,,,Ormat Technology Inc [100%],40.5547,-116.6175,exact,,Nevada,Americas,G100000700467,L100000700255,https://www.gem.wiki/Beowawe_geothermal_power_plant,binary cycle
El Salvador,Berlín geothermal power plant,1,Central geotérmica Berlín,28.1,operating,1999,,LaGeo,LaGeo [100%],13.5248,-88.5073,exact,Berlín,Departamento de Usulután,Americas,G100001048255,L100000700010,https://www.gem.wiki/Berlín_geothermal_power_plant,flash steam - single
El Salvador,Berlín geothermal power plant,2,Central geotérmica Berlín,28.1,operating,1999,,LaGeo,LaGeo [100%],13.5248,-88.5073,exact,Berlín,Departamento de Usulután,Americas,G100001048256,L100000700010,https://www.gem.wiki/Berlín_geothermal_power_plant,flash steam - single
El Salvador,Berlín geothermal power plant,3,Central geotérmica Berlín,44.8,operating,2007,,LaGeo,LaGeo [100%],13.5248,-88.5073,exact,Berlín,Departamento de Usulután,Americas,G100000700017,L100000700010,https://www.gem.wiki/Berlín_geothermal_power_plant,flash steam - single
El Salvador,Berlín geothermal power plant,4,Central geotérmica Berlín,9.2,operating,1992,,,,13.5248,-88.5073,exact,Berlín,Departamento de Usulután,Americas,G100001048257,L100000700010,https://www.gem.wiki/Berlín_geothermal_power_plant,flash steam - single
United States,Big Geysers geothermal plant,13,,138.0,operating,1980,,Geysers Power,Calpine [TO BE DELETED] Corp [100%],38.777,-122.745,exact,,California,Americas,G100000700018,L100000700011,https://www.gem.wiki/Big_Geysers_geothermal_plant,dry steam
Philippines,Biliran 2 geothermal power plant,--,,50.0,announced,2027,,,AG&P Industrial; Cresphil Inc; Royal Eijkelkamp; EnergyStream Power Corporation,11.5047059,124.4867818,approximate,,,Asia,G100001031211,L100001026007,https://www.gem.wiki/Biliran_2_geothermal_power_plant,unknown type
Philippines,Biliran geothermal power plant,1,,50.0,pre-construction,,,,Biliran Geothermal Inc [100%],11.5993,124.4839,approximate,,Biliran,Asia,G100000700410,L100000700227,https://www.gem.wiki/Biliran_geothermal_power_plant,unknown type
Philippines,Biliran geothermal power plant,Pilot,,2.0,pre-construction,2025,,,Biliran Geothermal Inc [100%],11.5993,124.4839,approximate,,Biliran,Asia,G100001050366,L100000700227,https://www.gem.wiki/Biliran_geothermal_power_plant,unknown type
Iceland,Bitra geothermal power plant,--,,135.0,cancelled,,,Orkuveita Reykjavikur,Orkuveita Reykjavikur [100%],63.8576,-21.3844,approximate,,Southern Region,Europe,G100000700019,L100000700012,https://www.gem.wiki/Bitra_geothermal_power_plant,unknown type
Iceland,Bjarnarflag geothermal power plant,1,,45.0,cancelled,,,Landsvirkjun,Landsvirkjun [100%],65.6432,-16.8462,exact,,,Europe,G100000700020,L100000700013,https://www.gem.wiki/Bjarnarflag_geothermal_power_plant,unknown type
Iceland,Bjarnarflag geothermal power plant,2,,45.0,cancelled,,,Landsvirkjun,Landsvirkjun [100%],65.6432,-16.8462,exact,,,Europe,G100000700021,L100000700013,https://www.gem.wiki/Bjarnarflag_geothermal_power_plant,unknown type
United States,Black Rock geothermal power plant,--,,77.0,shelved,,,,Black Rock Geothermal LLC,33.1493115,-115.6278498,approximate,,California,Americas,G100001005340,L100001004552,https://www.gem.wiki/Black_Rock_geothermal_power_plant,unknown type
Indonesia,Blawan Ijen geothermal project,1,,34.0,operating,2025,,PT Medco Power Indonesia [TO BE DELETED],Ormat Technology Inc [49%]; PT Medco Power Indonesia [TO BE DELETED] [51%],-7.9768,114.1883,approximate,,East Java,Asia,G100000700022,L100000700014,https://www.gem.wiki/Blawan_Ijen_geothermal_project,unknown type
Indonesia,Blawan Ijen geothermal project,2,,30.0,pre-construction,2026,,PT Medco Power Indonesia [TO BE DELETED],PT Medco Power Indonesia [TO BE DELETED] [51%]; Ormat Technology Inc [49%],-7.9735,114.1708,approximate,,East Java,Asia,G100000700023,L100000700014,https://www.gem.wiki/Blawan_Ijen_geothermal_project,unknown type
Indonesia,Blawan Ijen geothermal project,3,,76.0,announced,,,PT Medco Power Indonesia [TO BE DELETED],PT Medco Power Indonesia [TO BE DELETED] [51%]; Ormat Technology Inc [49%],-7.9735,114.1708,approximate,,East Java,Asia,G100001030456,L100000700014,https://www.gem.wiki/Blawan_Ijen_geothermal_project,unknown type
United States,Blue Mountain geothermal plant,--,,50.0,operating,2010,,,AltaRock Energy [100%],40.9952,-118.142,exact,,Nevada,Americas,G100000700024,L100000700015,https://www.gem.wiki/Blue_Mountain_geothermal_plant,binary cycle
United States,Blundell 1 geothermal plant,--,,31.0,operating,1984,,PacifiCorp,PacifiCorp [100%],38.4889,-112.8533,exact,,Utah,Americas,G100000700025,L100000700016,https://www.gem.wiki/Blundell_1_geothermal_plant,flash steam - unknown
United States,Blundell 2 geothermal plant,2,,14.0,operating,2007,,,PacifiCorp [100%],38.4889,-112.8533,exact,,Utah,Americas,G100000700468,L100000700256,https://www.gem.wiki/Blundell_2_geothermal_plant,unknown type
United States,Blundell 3 geothermal plant,--,,30.0,cancelled,,,PacifiCorp,PacifiCorp [100%],38.4889,-112.8533,exact,,Utah,Americas,G100000700026,L100000700017,https://www.gem.wiki/Blundell_3_geothermal_plant,unknown type
Costa Rica,Boca de Pozo geothermal power plant,--,Planta Geotérmica Boca De Pozo,5.0,operating,1994,,,Instituto Costarricense de Electricidad,10.67651836,-85.17332223,exact,,,Americas,G100001031304,L100001026057,https://www.gem.wiki/Boca_de_Pozo_geothermal_power_plant,flash steam - unknown
Costa Rica,Borinquen geothermal power project,1,Central geotérmica Borinquen,55.0,construction,2027,,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE) [100%],10.6344,-85.4397,approximate,,Guanacaste,Americas,G100000700027,L100000700018,https://www.gem.wiki/Borinquen_geothermal_power_project,unknown type
Costa Rica,Borinquen geothermal power project,2,Central geotérmica Borinquen,55.0,pre-construction,2027,,Costa Rican Electricity Institute (ICE),Costa Rican Electricity Institute (ICE) [100%],10.7709492,-85.3500183,approximate,,Guanacaste,Americas,G100000700028,L100000700018,https://www.gem.wiki/Borinquen_geothermal_power_project,unknown type
United States,Bottle Rock Power geothermal plant,--,,55.0,operating,1985,,Bottle Rock Power,Baseload Clean Energy Partners [100%],38.8348,-122.7677,exact,,California,Americas,G100000700029,L100000700019,https://www.gem.wiki/Bottle_Rock_Power_geothermal_plant,flash steam - single
Guadeloupe,Bouillante geothermal power plant,1,Centrale géothermique de Bouillante,5.0,operating,1986,,,,16.1272,-61.7691,exact,,Guadeloupe,Americas,G100000700336,L100000700020,https://www.gem.wiki/Bouillante_geothermal_power_plant,flash steam - double
Guadeloupe,Bouillante geothermal power plant,2,Centrale géothermique de Bouillante,10.0,operating,2003,,,,16.1272,-61.7691,exact,,Guadeloupe,Americas,G100000700337,L100000700020,https://www.gem.wiki/Bouillante_geothermal_power_plant,flash steam - double
Guadeloupe,Bouillante geothermal power plant,3,Centrale géothermique de Bouillante,10.0,pre-construction,2025,,Ormat Technology,Ormat Technology Inc [100%],16.1274,-61.769,exact,,Guadeloupe,Americas,G100000700030,L100000700020,https://www.gem.wiki/Bouillante_geothermal_power_plant,flash steam - double
United States,Brady geothermal power plant,OEC,,6.0,operating,2002,,,Ormat Technology Inc [100%],39.796,-119.0101,exact,,Nevada,Americas,G100000700469,L100000700257,https://www.gem.wiki/Brady_geothermal_power_plant,flash steam - double
United States,Brady geothermal power plant,OEC1,,15.0,operating,2018,,,Ormat Technology Inc [100%],39.796,-119.0101,exact,,Nevada,Americas,G100000700470,L100000700257,https://www.gem.wiki/Brady_geothermal_power_plant,flash steam - double
Philippines,Buguias-Tinoc geothermal power plant,--,,100.0,pre-construction,2027,,,Energy Development CORP (EDC),16.7474945,120.9405608,approximate,,,Asia,G100001031208,L100001026005,https://www.gem.wiki/Buguias-Tinoc_geothermal_power_plant,unknown type
Türkiye,Buharkent geothermal power plant,--,Buharkent Jeotermal Santrali,14.0,operating,2018,,,Limgaz Elektrik Uretim Madencilik Sanayi Ve Ticaret Anonim Sirketi,37.97895843,28.80955603,exact,,,Asia,G100001050570,L100001044991,https://www.gem.wiki/Buharkent_geothermal_power_plant,binary cycle
Indonesia,Bukit Daun geothermal power plant,--,,30.0,announced,,,,Pertamina Geothermal Energy,-3.3929069,102.2906123,approximate,,,Asia,G100001030459,L100001025666,https://www.gem.wiki/Bukit_Daun_geothermal_power_plant,unknown type
Uganda,Buranga geothermal power plant,--,,100.0,cancelled,2025,,Gids Consult,Gids Consult Ltd [100%],0.8332,30.1664,approximate,,Mongiro,Africa,G100000700031,L100000700021,https://www.gem.wiki/Buranga_geothermal_power_plant,unknown type
Kenya,BVC geothermal power plant,1,,70.0,pre-construction,2025,,,Olsuswa Energy Ltd,2.1536,35.78748,approximate,,,Africa,G100001048468,L100001043006,https://www.gem.wiki/BVS_geothermal_power_plant,unknown type
Kenya,BVC geothermal power plant,2,,70.0,announced,,,,Olsuswa Energy Ltd,2.1536,35.78748,approximate,,,Africa,G100001048469,L100001043006,https://www.gem.wiki/BVS_geothermal_power_plant,unknown type
Zambia,Bweengwa geothermal power plant,1,,3.0,announced,2025,,Kalahari GeoEnergy,Kalahari GeoEnergy Ltd,-16.0121927,27.2134349,approximate,,,Africa,G100001030962,L100001025885,https://www.gem.wiki/Bweengwa_geothermal_power_plant,unknown type
Zambia,Bweengwa geothermal power plant,2,,8.0,announced,2027,,Kalahari GeoEnergy,Kalahari GeoEnergy Ltd,-16.0121927,27.2134349,approximate,,,Africa,G100001030963,L100001025885,https://www.gem.wiki/Bweengwa_geothermal_power_plant,unknown type
Zambia,Bweengwa geothermal power plant,3,,12.0,announced,2030,,Kalahari GeoEnergy,Kalahari GeoEnergy Ltd,-16.0121927,27.2134349,approximate,,,Africa,G100001030964,L100001025885,https://www.gem.wiki/Bweengwa_geothermal_power_plant,unknown type
Peru,Cabanaconde geothermal power plant,--,"Planta de vapor Cabanaconde, Central geotérmica Cabanaconde",100.0,pre-construction,2027,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],-15.6739781,-71.8615765,approximate,,Arequipa,Americas,G100000700032,L100000700022,https://www.gem.wiki/Cabanaconde_geothermal_power_plant,unknown type
Philippines,Cagua-Baua geothermal power plant,--,,45.0,pre-construction,,,,Pan Pacific Power Phillippines Corp [100%],18.3822,122.1445,approximate,,Cagayan,Asia,G100000700411,L100000700228,https://www.gem.wiki/Cagua-Baua_geothermal_power_plant,unknown type
United States,Calistoga geothermal plant,1,,88.0,operating,1984,,Geysers Power,Geysers Power Co LLC [100%],38.7879,-122.7434,exact,,California,Americas,G100000700034,L100000700023,https://www.gem.wiki/Calistoga_geothermal_plant,dry steam
United States,Calistoga geothermal plant,2,,88.0,operating,1984,,Geysers Power,Geysers Power Co LLC [100%],38.7894,-122.7455,exact,,California,Americas,G100000700033,L100000700023,https://www.gem.wiki/Calistoga_geothermal_plant,dry steam
Indonesia,Candradimuka geothermal power plant,--,,40.0,announced,,,,PT Geo Dipa Energi (GDE),-7.1787555,109.8674747,approximate,,,Asia,G100001030458,L100001025665,https://www.gem.wiki/Candradimuka_geothermal_power_plant,unknown type
United States,Cape Station geothermal power plant,1,,100.0,construction,2026,,Fervo Energy,Fervo Energy,38.4693866,-112.9276109,approximate,,Utah,Americas,G100001005341,L100001004553,https://www.gem.wiki/Cape_Station_geothermal_power_plant,enhanced geothermal systems (EGS)
United States,Cape Station geothermal power plant,2,,300.0,pre-construction,2028,,Fervo Energy,Fervo Energy,38.4693866,-112.9276109,approximate,,Utah,Americas,G100001005342,L100001004553,https://www.gem.wiki/Cape_Station_geothermal_power_plant,enhanced geothermal systems (EGS)
United States,Cape Station geothermal power plant,future units,,1600.0,announced,,,Fervo Energy,Fervo Energy,38.4693866,-112.9276109,approximate,,Utah,Americas,G100001050360,L100001004553,https://www.gem.wiki/Cape_Station_geothermal_power_plant,enhanced geothermal systems (EGS)
Italy,Carboli geothermal power plant,1,Impianto geotermico di Carboli,20.0,operating,1998,,,,43.23224,10.88399,approximate,,,Europe,G100001048311,L100001042936,https://www.gem.wiki/Carboli_geothermal_power_plant,dry steam
Italy,Carboli geothermal power plant,2,Impianto geotermico di Carboli,20.0,operating,1998,,,,43.23224,10.88399,approximate,,,Europe,G100001048312,L100001042936,https://www.gem.wiki/Carboli_geothermal_power_plant,dry steam
United States,Casa Diablo 4 geothermal power plant,--,,30.0,operating,2022,,Ormat Technology,Ormat Technology Inc [100%],37.6449,-118.9149,exact,,California,Americas,G100000700471,L100000700258,https://www.gem.wiki/Casa_Diablo_4_geothermal_power_plant,binary cycle
Nicaragua,Casita - San Cristóbal geothermal power plant,--,"Central geotérmica Casita - San Cristóbal, Planta Geotérmica De Vapor Casita San Cristóbal",35.0,cancelled,,,Empresa Nicaragüense de Electricidad,Polaris Energy Nicaragua [50%]; Empresa Nicaragüense de Electricidad [50%],12.7231,-87.0836,approximate,,Chinadega,Americas,G100000700035,L100000700024,https://www.gem.wiki/Casita_-_San_Cristóbal_geothermal_power_plant,unknown type
United States,CE Leathers geothermal plant,1,,46.0,operating,1989,,CalEnergy Operating,CalEnergy Operating Corp [100%],33.1779,-115.565,exact,,California,Americas,G100000700036,L100000700025,https://www.gem.wiki/CE_Leathers_geothermal_plant,flash steam - double
Türkiye,Celikler Sultanhisar 2 geothermal power plant,--,,23.0,operating,2018,,,Celikler Holding [100%],37.8962,28.1731,exact,,Aydın,Asia,G100000700434,L100000700244,https://www.gem.wiki/Celikler_Sultanhisar_2_geothermal_power_plant,binary cycle
Chile,Cerro Pabellón geothermal power plant,1,Central geotérmica Cerro Pabellón,24.0,operating,2017,,Geotérmica Del Norte (GDN),Enel Chile [50%]; Empresa Nacional del Petróleo [50%],-21.8576,-68.1515,exact,Ollagüe,Antofagasta Region,Americas,G100000700326,L100000700026,https://www.gem.wiki/Cerro_Pabellón_geothermal_power_plant,binary cycle
Chile,Cerro Pabellón geothermal power plant,2,Central geotérmica Cerro Pabellón,24.0,operating,2017,,Geotérmica Del Norte (GDN),Enel Chile [50%]; Empresa Nacional del Petróleo [50%],-21.8576,-68.1515,exact,Ollagüe,Antofagasta Region,Americas,G100000700327,L100000700026,https://www.gem.wiki/Cerro_Pabellón_geothermal_power_plant,binary cycle
Chile,Cerro Pabellón geothermal power plant,3,Central geotérmica Cerro Pabellón,33.0,operating,2021,,Geotérmica Del Norte (GDN),Enel Chile [50%]; Empresa Nacional del Petróleo [50%],-21.8576,-68.1515,exact,Ollagüe,Antofagasta Region,Americas,G100000700037,L100000700026,https://www.gem.wiki/Cerro_Pabellón_geothermal_power_plant,binary cycle
Mexico,Cerro Prieto 1 geothermal power plant,1,Central geotérmica Cerro Prieto 1,38.0,retired,1973,2016,Comision Federal De Electricidad,Comision Federal De Electricidad [100%],32.3985,-115.2379,exact,,Baja California,Americas,G100000700038,L100000700027,https://www.gem.wiki/Cerro_Prieto_1_geothermal_power_plant,flash steam - single
Mexico,Cerro Prieto 1 geothermal power plant,2,Central geotérmica Cerro Prieto 1,38.0,retired,1973,2016,Comision Federal De Electricidad,Comision Federal De Electricidad [100%],32.3985,-115.2379,exact,,Baja California,Americas,G100000700039,L100000700027,https://www.gem.wiki/Cerro_Prieto_1_geothermal_power_plant,flash steam - single
Mexico,Cerro Prieto 1 geothermal power plant,3,Central geotérmica Cerro Prieto 1,38.0,retired,1979,2016,Comision Federal De Electricidad,Comision Federal De Electricidad [100%],32.3985,-115.2379,exact,,Baja California,Americas,G100000700040,L100000700027,https://www.gem.wiki/Cerro_Prieto_1_geothermal_power_plant,flash steam - single
