country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
Indonesia,Tangkuban Perahu Ciater geothermal power plant,2,,55.0,pre-construction,,,,PT PLN (Persero) [100%],-6.7367,107.6705,approximate,,West Java,Asia,G100000700373,L100000700213,https://www.gem.wiki/Tangkuban_Perahu_Ciater_geothermal_power_plant,unknown type
New Zealand,Tauhara geothermal power plant,--,,174.0,operating,2024,,Contact Energy,Contact Energy Ltd [100%],-38.6667,176.1567,exact,,Waikato,Oceania,G100000700279,L100000700170,https://www.gem.wiki/Tauhara_geothermal_power_plant,unknown type
Philippines,Tayabas Lucban geothermal power plant,--,,31.0,pre-construction,,,,SKI Construction Group Inc [100%],13.973,121.6208,approximate,,Quezon,Asia,G100000700420,L100000700233,https://www.gem.wiki/Tayabas_Lucban_geothermal_power_plant,unknown type
New Zealand,Te Ahi O Maui geothermal power plant,--,,26.0,operating,2018,,Eastland Generation,Kawerau A8D Ahu Whenua Trust; Eastland Generation,-38.0631426,176.7022563,exact,,,Oceania,G100001005326,L100001004539,https://www.gem.wiki/Te_Ahi_O_Maui_geothermal_power_plant,binary cycle
New Zealand,Te Huka geothermal power plant,1,,28.0,operating,2010,,Contact Energy,Contact Energy Ltd,-38.6672208,176.1166394,exact,,,Oceania,G100001030947,L100001025879,https://www.gem.wiki/Te_Huka_geothermal_power_plant,binary cycle
New Zealand,Te Huka geothermal power plant,3,,51.0,operating,2024,,Contact Energy,Contact Energy Ltd,-38.6672208,176.1166394,exact,,,Oceania,G100001030946,L100001025879,https://www.gem.wiki/Te_Huka_geothermal_power_plant,binary cycle
Türkiye,Tekkehamam 2 geothermal power plant,--,,35.0,pre-construction,,,,Zorlu Enerji [100%],37.7817,29.0796,approximate,,Denizli,Asia,G100000700456,L100000700249,https://www.gem.wiki/Tekkehamam_2_geothermal_power_plant,unknown type
United States,Telephone Flat geothermal plant,1,,50.0,cancelled,,,Calpine [TO BE DELETED],,41.6014,-121.625,exact,,California,Americas,G100000700283,L100000700172,https://www.gem.wiki/Telephone_Flat_geothermal_plant,unknown type
New Zealand,Te Mihi 2 geothermal power plant,--,,101.0,pre-construction,2027,,Contact Energy,Contact Energy Ltd,-38.61903341,176.0460735,approximate,,,Oceania,G100001030451,L100001025661,https://www.gem.wiki/Te_Mihi_2_geothermal_power_plant,binary cycle
New Zealand,Te Mihi geothermal power plant,1,,83.0,operating,2014,,Contact Energy,Contact Energy Ltd [100%],-38.6164,176.038,exact,,Waikato,Oceania,G100000700280,L100000700171,https://www.gem.wiki/Te_Mihi_geothermal_power_plant,flash steam - double
New Zealand,Te Mihi geothermal power plant,2,,83.0,operating,2014,,Contact Energy,Contact Energy Ltd [100%],-38.6164,176.038,exact,,Waikato,Oceania,G100000700281,L100000700171,https://www.gem.wiki/Te_Mihi_geothermal_power_plant,flash steam - double
Ethiopia,Tendaho geothermal power plant,--,,180.0,pre-construction,2026,,Ethiopian Electric Power (EEP),Ethiopian Electric Power (EEP) [100%],11.6925,40.9563,approximate,,Afar,Africa,G100000700284,L100000700173,https://www.gem.wiki/Tendaho_geothermal_power_plant,unknown type
Bangladesh,Thakurgain geothermal plant,--,,200.0,cancelled,,,,Anglo MGH Energy [100%],24.4769,90.2934,approximate,Salandar,,Asia,G100000700286,L100000700175,https://www.gem.wiki/Thakurgain_geothermal_plant,unknown type
United States,Thermo No 1 geothermal power plant,2,,14.0,operating,2013,,,Thermo No 1 BE 01 LLC [100%],38.1607,-113.1945,exact,,Utah,Americas,G100000700550,L100000700292,https://www.gem.wiki/Thermo_No_1_geothermal_power_plant,binary cycle
Philippines,Tiaong geothermal power plant,--,,62.0,pre-construction,,,,SKI Construction Group Inc [100%],13.9402,121.3418,approximate,,Quezon,Asia,G100000700421,L100000700234,https://www.gem.wiki/Tiaong_geothermal_power_plant,unknown type
New Zealand,Tikitere geothermal power plant,--,,45.0,cancelled,,,Ormat Technology,Ormat Technology Inc [100%],-38.0843,176.3595,approximate,,Rotorua,Oceania,G100000700289,L100000700177,https://www.gem.wiki/Tikitere_geothermal_power_plant,unknown type
Philippines,Tiwi Binary geothermal power plant,--,,17.0,operating,2023,,,,13.4597,123.6393,exact,,Albay,Asia,G100000700422,L100000700235,https://www.gem.wiki/Tiwi_Binary_geothermal_power_plant,binary cycle
Philippines,Tiwi geothermal power plant,1,,60.0,operating,1979,,AP Renewables INC (APRI),AboitizPower Corp [100%],13.4655,123.6486,exact,,Albay,Asia,G100000700290,L100000700178,https://www.gem.wiki/Tiwi_geothermal_power_plant,flash steam - single
Philippines,Tiwi geothermal power plant,2,,60.0,operating,1979,,AP Renewables INC (APRI),AboitizPower Corp [100%],13.4655,123.6486,exact,,Albay,Asia,G100000700291,L100000700178,https://www.gem.wiki/Tiwi_geothermal_power_plant,flash steam - single
Philippines,Tiwi geothermal power plant,3,,55.0,operating,1980,,AP Renewables INC (APRI),AboitizPower Corp [100%],13.4655,123.6486,exact,,Albay,Asia,G100000700292,L100000700178,https://www.gem.wiki/Tiwi_geothermal_power_plant,flash steam - single
Philippines,Tiwi geothermal power plant,4,,55.0,operating,1980,,AP Renewables INC (APRI),AboitizPower Corp [100%],13.4655,123.6486,exact,,Albay,Asia,G100000700293,L100000700178,https://www.gem.wiki/Tiwi_geothermal_power_plant,unknown type
Philippines,Tiwi geothermal power plant,5,,43.0,operating,1981,,AP Renewables INC (APRI),AboitizPower Corp [100%],13.4655,123.6486,exact,,Albay,Asia,G100000700294,L100000700178,https://www.gem.wiki/Tiwi_geothermal_power_plant,unknown type
Philippines,Tiwi geothermal power plant,6,,57.0,operating,1980,,AP Renewables INC (APRI),AboitizPower Corp [100%],13.4655,123.6486,exact,,Albay,Asia,G100000700295,L100000700178,https://www.gem.wiki/Tiwi_geothermal_power_plant,unknown type
Indonesia,Toka Tindung geothermal power plant,--,,40.0,announced,,,,Ormat Technology Inc; PT Archi Indonesia Tbk,1.5842414,125.1007861,approximate,,,Asia,G100001030315,L100001025604,https://www.gem.wiki/Toka_Tindung_geothermal_power_plant,unknown type
Philippines,Tongonan geothermal power plant,1,,38.0,operating,1983,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],11.1612,124.6371,exact,,Leyte,Asia,G100000700296,L100000700179,https://www.gem.wiki/Tongonan_geothermal_power_plant,unknown type
Philippines,Tongonan geothermal power plant,2,,38.0,operating,1983,,Energy Development CORP (EDC),Energy Development CORP (EDC) [100%],11.1612,124.6371,exact,,Leyte,Asia,G100000700297,L100000700179,https://www.gem.wiki/Tongonan_geothermal_power_plant,unknown type
