country,url,plant,unit,chinese_name,owner,parent,capacity,status,year,subnational,lat,lng,region
China,https://www.gem.wiki/Xinjiang_Zhongtai_Fukang_power_station,Xinjiang Zhongtai Fukang power station,Phase I Unit 1,新疆中泰阜康热电厂,Xinjiang Zhongtai Chemical Fukang Energy [100%],Xinjiang Zhongtai Chenical Co Ltd [70.3%]; Agricultural Bank of China Ltd [26.1%]; other [1.4%]; Xi'an Jingfa Holding (Group) Co Ltd [0.4%]; Shaanxi Finance Investment Management Co Ltd [0.4%]; Shaanxi Yanchang Petroleum (Group) Co Ltd [0.3%]; Far East Horizon [0.3%]; Xi'an Urban Infrastructure Construction Investment Group Co Ltd [0.3%]; Yulin Investment Operation Group Co Ltd [0.3%]; Shaanxi Coal and Chemical Industry Co Ltd [0.2%]; Shaanxi International Trust Co Ltd [0.1%]; Chang'an Huitong Co Ltd [0.0%],150,operating,2012,Xinjiang,44.133889,87.784333,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Fukang_power_station,Xinjiang Zhongtai Fukang power station,Phase I Unit 2,新疆中泰阜康热电厂,Xinjiang Zhongtai Chemical Fukang Energy [100%],Xinjiang Zhongtai Chenical Co Ltd [70.3%]; Agricultural Bank of China Ltd [26.1%]; other [1.4%]; Xi'an Jingfa Holding (Group) Co Ltd [0.4%]; Shaanxi Finance Investment Management Co Ltd [0.4%]; Shaanxi Yanchang Petroleum (Group) Co Ltd [0.3%]; Far East Horizon [0.3%]; Xi'an Urban Infrastructure Construction Investment Group Co Ltd [0.3%]; Yulin Investment Operation Group Co Ltd [0.3%]; Shaanxi Coal and Chemical Industry Co Ltd [0.2%]; Shaanxi International Trust Co Ltd [0.1%]; Chang'an Huitong Co Ltd [0.0%],150,operating,2012,Xinjiang,44.133889,87.784333,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Fukang_power_station,Xinjiang Zhongtai Fukang power station,Unit 3,新疆中泰阜康热电厂,Xinjiang Zhongtai Mining and Metallurgy [100%],Xinjiang Zhongtai Chenical Co Ltd [100.0%],150,operating,2013,Xinjiang,44.08098,88.588901,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Fukang_power_station,Xinjiang Zhongtai Fukang power station,Unit 4,新疆中泰阜康热电厂,Xinjiang Zhongtai Mining and Metallurgy [100%],Xinjiang Zhongtai Chenical Co Ltd [100.0%],150,operating,2012,Xinjiang,44.08098,88.588901,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Fukang_power_station,Xinjiang Zhongtai Fukang power station,Unit 5,新疆中泰阜康热电厂,Xinjiang Zhongtai Mining and Metallurgy [100%],Xinjiang Zhongtai Chenical Co Ltd [100.0%],150,operating,2012,Xinjiang,44.08098,88.588901,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Fukang_power_station,Xinjiang Zhongtai Fukang power station,Unit 6,新疆中泰阜康热电厂,Xinjiang Zhongtai Mining and Metallurgy [100%],Xinjiang Zhongtai Chenical Co Ltd [100.0%],150,operating,2012,Xinjiang,44.08098,88.588901,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Huatai_power_station,Xinjiang Zhongtai Huatai power station,Unit 1,新疆中泰化学华泰重工配套电厂,Xinjiang HUATAI Heavy Chemical [100%],Xinjiang Zhongtai Chenical Co Ltd [84.6%]; Agricultural Bank of China Ltd [8.8%]; other [1.0%]; Xi'an Jingfa Holding (Group) Co Ltd [0.9%]; Shaanxi Finance Investment Management Co Ltd [0.9%]; Shaanxi Yanchang Petroleum (Group) Co Ltd [0.8%]; Far East Horizon [0.7%]; Xi'an Urban Infrastructure Construction Investment Group Co Ltd [0.7%]; Yulin Investment Operation Group Co Ltd [0.7%]; Shaanxi Coal and Chemical Industry Co Ltd [0.5%]; Shaanxi International Trust Co Ltd [0.3%]; Chang'an Huitong Co Ltd [0.1%],150,operating,2010,Xinjiang,43.942935,87.664081,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Huatai_power_station,Xinjiang Zhongtai Huatai power station,Unit 2,新疆中泰化学华泰重工配套电厂,Xinjiang HUATAI Heavy Chemical [100%],Xinjiang Zhongtai Chenical Co Ltd [84.6%]; Agricultural Bank of China Ltd [8.8%]; other [1.0%]; Xi'an Jingfa Holding (Group) Co Ltd [0.9%]; Shaanxi Finance Investment Management Co Ltd [0.9%]; Shaanxi Yanchang Petroleum (Group) Co Ltd [0.8%]; Far East Horizon [0.7%]; Xi'an Urban Infrastructure Construction Investment Group Co Ltd [0.7%]; Yulin Investment Operation Group Co Ltd [0.7%]; Shaanxi Coal and Chemical Industry Co Ltd [0.5%]; Shaanxi International Trust Co Ltd [0.3%]; Chang'an Huitong Co Ltd [0.1%],150,operating,2010,Xinjiang,43.942935,87.664081,Asia
China,https://www.gem.wiki/Xinjiang_Zhongtai_Meike_Chemical_Industury_Power_Station,Xinjiang Zhongtai Meike Chemical Industury Power Station,Unit 7,新疆中泰化学美克化工动力站,Xinjiang Markor Chemical Industry [100%],Xinjiang Zhongtai (Group) Co Ltd [26.3%]; Xinjiang Zhongtai Chenical Co Ltd [24.1%]; other [22.6%]; Yihe Yinfeng(Tianjin)Investment Management Co Ltd [14.2%]; Beijing Hongpin Information Consulting Partnership LP [6.4%]; Dreambox Digital Technology Co Ltd [6.4%],50,cancelled,,Xinjiang,41.682331,86.179783,Asia
China,https://www.gem.wiki/Xinlei_Gangue_power_station,Xinlei Gangue power station,Unit 1,太钢鑫磊煤电公司发电厂,Jinneng Xinlei Coal Power [100%],Shanxi Xinlei Energy Group Co Ltd [49.0%]; Shanxi State-Owned Capital Investment and Operation Co Ltd [29.4%]; Jinneng Group Co Ltd [11.0%]; other [7.3%]; Jinneng Holding Group Co Ltd [3.3%],350,permitted,,Shanxi,38.180204,113.016611,Asia
