country,url,plant,unit,chinese_name,owner,parent,capacity,status,year,subnational,lat,lng,region
China,https://www.gem.wiki/Xing_County_power_station,Xing County power station,Unit 1,华电锦兴能源兴县低热值煤发电项目,Shanxi Jinxing Energy [100%],Huadian Energy Co Ltd [51.0%]; Shanxi DUBAO Newenergy Resources Co Ltd [24.5%]; Shanxi Tangrong Investment Management Co Ltd [24.5%],350,permitted,,Shanxi,38.389595,111.113541,Asia
China,https://www.gem.wiki/Xing_County_power_station,Xing County power station,Unit 2,华电锦兴能源兴县低热值煤发电项目,Shanxi Jinxing Energy [100%],Huadian Energy Co Ltd [51.0%]; Shanxi DUBAO Newenergy Resources Co Ltd [24.5%]; Shanxi Tangrong Investment Management Co Ltd [24.5%],350,permitted,,Shanxi,38.389595,111.113541,Asia
China,https://www.gem.wiki/Xing%27an_Copper-Zinc_Smelter_power_station,Xing'an Copper-Zinc Smelter power station,Unit 1,兴安铜锌冶炼自备电厂,INNER MONGOLIA XING AN TONG XIN Smelt [100%],Inner Mongolia Geology and Mineral Resources (Group) Co Ltd [89.4%]; Inner Mongolia State Owned Capital Operation Co Ltd [9.9%]; other [0.7%],50,retired,2015,Inner Mongolia,44.766963,118.422873,Asia
China,https://www.gem.wiki/Xing%27an_Copper-Zinc_Smelter_power_station,Xing'an Copper-Zinc Smelter power station,Unit 2,兴安铜锌冶炼自备电厂,INNER MONGOLIA XING AN TONG XIN Smelt [100%],Inner Mongolia Geology and Mineral Resources (Group) Co Ltd [89.4%]; Inner Mongolia State Owned Capital Operation Co Ltd [9.9%]; other [0.7%],50,retired,2015,Inner Mongolia,44.766963,118.422873,Asia
China,https://www.gem.wiki/Xinghe_Cogen_power_station,Xinghe Cogen power station,Unit 1,中国黄金内蒙古矿业兴和热电厂,China Gold Inner Mongolia Mining [100%],Zhongjin Gold Corp Ltd [90.0%]; Beijing Yujie Mining Industry Investment Co Ltd [10.0%],350,operating,2015,Inner Mongolia,40.86604,113.747689,Asia
China,https://www.gem.wiki/Xinghe_Cogen_power_station,Xinghe Cogen power station,Unit 2,中国黄金内蒙古矿业兴和热电厂,China Gold Inner Mongolia Mining [100%],Zhongjin Gold Corp Ltd [90.0%]; Beijing Yujie Mining Industry Investment Co Ltd [10.0%],350,operating,2016,Inner Mongolia,40.86604,113.747689,Asia
China,https://www.gem.wiki/Xingtai_Cogen_power_station,Xingtai Cogen power station,Unit 1,河北建投邢台热电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],350,operating,2016,Hebei,36.969986,114.624016,Asia
China,https://www.gem.wiki/Xingtai_Cogen_power_station,Xingtai Cogen power station,Unit 2,河北建投邢台热电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],350,operating,2016,Hebei,36.969986,114.624016,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase III Unit 4,河北建投邢台发电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],220,retired,1985,Hebei,37.0083749,114.4849158,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase III Unit 5,河北建投邢台发电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],220,retired,1986,Hebei,37.0083749,114.4849158,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase IV Unit 6,河北建投邢台发电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],220,retired,1988,Hebei,37.0083749,114.4849158,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase IV Unit 7,河北建投邢台发电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],220,retired,1989,Hebei,37.0083749,114.4849158,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase V Unit 8,河北建投邢台发电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],220,retired,1991,Hebei,37.0083749,114.4849158,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase V Unit 9,河北建投邢台发电厂,Construction Investment Xingtai Thermal Power [100%],Hebei Construction Investment Energy Investment Co Ltd [100.0%],220,retired,1991,Hebei,37.0083749,114.4849158,Asia
China,https://www.gem.wiki/Xingtai_power_station,Xingtai power station,Phase VI Unit 1,河北建投邢台发电厂,Hebei Xingtai Power Generation [100%],Hebei Construction & Investment Group Co Ltd [55.3%]; State Grid Corporation of China [44.7%],300,operating,2005,Hebei,37.0083749,114.4849158,Asia
