country/area,project-name,fuel,unit-name,project-name-in-local-language-/-script,capacity-(mw),status,start-year,retired-year,hydrogen-capable,operator(s),owner(s),lat,lng,location-accuracy,city,state/province,region,gem-phase-id,url
Poland,Ostrołęka Mill power station,"bioenergy: paper mill wastes, bioenergy: refuse (municipal and industrial wastes), coal: unknown",1,,37.0,operating,2010,,,,Stora Enso Oyj [100%],53.1005,21.6075,exact,Ostrołęka,Masovian Voivodeship,Europe,G100000201419,https://www.gem.wiki/Ostrołęka_Mill_power_station
Namibia,Otjikoto Biomass power station,bioenergy: agricultural waste (solids),1,,40.0,pre-construction,,,,NamPower,NamPower [100%],-19.2269,17.7363,approximate,Tsumeb,Oshikoto Region,Africa,G100000200002,https://www.gem.wiki/Otjikoto_Biomass_power_station
Namibia,Otjiwarongo power station,bioenergy: wood & other biomass (solids),1,,40.0,pre-construction,2025,,,,NamPower [100%],-20.4482,16.6565,approximate,Otjiwarongo,Otjozondjupa,Africa,G100000201693,https://www.gem.wiki/Otjiwarongo_power_station
Finland,Oulu Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), other: other",B,,35.0,operating,,,,,Stora Enso Oyj [100%],64.9969,25.4304,exact,Oulu,,Europe,G100000201380,https://www.gem.wiki/Oulu_Mill_power_station
Japan,Ozu power station,bioenergy: wood & other biomass (solids),1,"大洲バイオマス発電所, 大洲バイオマス発電株式会社",50.0,construction,2024,,,,Ozu Biomass Power Co Ltd [100%],33.6228,132.4987,exact,Ozu,,Asia,G100000200039,https://www.gem.wiki/Ozu_power_station
United States,Palatka Mill power station,"bioenergy: paper mill wastes, fossil gas: natural gas",GEN4,,48.0,operating,1965,,,Georgia-Pacific,Georgia-Pacific LLC [100%],29.6807,-81.6809,exact,,Florida,Americas,G100000201649,https://www.gem.wiki/Palatka_Mill_power_station
United States,Palatka Mill power station,"bioenergy: paper mill wastes, fossil gas: natural gas",GEN8,,32.0,operating,1993,,,Georgia-Pacific,Georgia-Pacific LLC [100%],29.6807,-81.6809,exact,,Florida,Americas,G100000201650,https://www.gem.wiki/Palatka_Mill_power_station
United States,Palm Beach Renewable Energy Bioenergy Facility 1,bioenergy: refuse (municipal and industrial wastes),GEN1,,62.0,operating,1989,,,Palm Beach Resource Recovery,Solid Waste Authority of Palm Beach County Co [100%],26.7734,-80.1428,exact,West Palm Beach,Florida,Americas,G100000200407,https://www.gem.wiki/Palm_Beach_Renewable_Energy_Bioenergy_Facility_1
United States,Palm Beach Renewable Energy Facility 2 power station,"bioenergy: refuse (municipal and industrial wastes), fossil gas: natural gas",GEN2,,96.0,operating,2015,,,Palm Beach Resource Recovery,Solid Waste Authority of Palm Beach County Co [100%],26.7757,-80.1418,exact,West Palm Beach,Florida,Americas,G100000409511,https://www.gem.wiki/Palm_Beach_Renewable_Energy_Facility_2_power_station
Guatemala,Palo Gordo power station,"bioenergy: agricultural waste (solids), coal: unknown",1,Planta cogeneradora Palo Gordo,31.0,mothballed,2012,,,Ingenio Palo Gordo,Ingenio Palo Gordo SA [100%],14.488,-91.3986,exact,,Suchitepéquez,Americas,G100000201560,https://www.gem.wiki/Palo_Gordo_power_station
