country/area,name-(english),name-(other-language),design-capacity-(ttpa),status,owner,parent,coordinates,coordinate-accuracy,subnational-unit,region,url,total-reserves-(proven-and-probable,total-resource-(inferred,production-2023-(ttpa),production-2022-(ttpa),start-date,lat,lng,scaling_cap
India,NMDC Bailadila-Kirandul Deposit 11C Mine,,"1,500",operating,National Mineral Development Corp Ltd [100.0%],National Mineral Development Corp Ltd [100.0%],"18.633643, 81.238373",exact,Chhattisgarh,Oceania,https://gem.wiki/NMDC_Bailadila-Kirandul_Deposit_11C_Mine,"50,422",unknown,unknown,875.2964601769911,1988,18.633643,81.238373,1500
India,NMDC Bailadila-Kirandul Deposit 14 Mine,,"5,000",operating,National Mineral Development Corp Ltd [100.0%],National Mineral Development Corp Ltd [100.0%],"18.606222, 81.226097",exact,Chhattisgarh,Oceania,https://gem.wiki/NMDC_Bailadila-Kirandul_Deposit_14_Mine,"483,780",unknown,unknown,2546,1968-11-01 00:00:00,18.606222,81.226097,5000
India,NMDC Bailadila-Kirandul Deposit 14 NMZ Mine,,"5,500",operating,National Mineral Development Corp Ltd [100.0%],National Mineral Development Corp Ltd [100.0%],"18.615358, 81.229663",exact,Chhattisgarh,Oceania,https://gem.wiki/NMDC_Bailadila-Kirandul_Deposit_14_NMZ_Mine,"231,776",unknown,unknown,5390,1987-10-01 00:00:00,18.615358,81.229663,5500
India,NMDC Deposit 13 Mine,,"10,000",proposed,National Mineral Development Corp Ltd [100.0%],National Mineral Development Corp Ltd [100.0%],"18.611231, 81.195044",approximate,Chhattisgarh,Oceania,https://gem.wiki/NMDC_Deposit_13_Mine,unknown,"326,000",,,unknown,18.611231,81.195044,10000
India,NMDC Donimalai Mine,,"7,000",operating,National Mineral Development Corp Ltd [100.0%],National Mineral Development Corp Ltd [100.0%],"15.047897, 76.632772",exact,Karnataka,Oceania,https://gem.wiki/NMDC_Donimalai_Mine,"127,583",unknown,5729,5316,1972-10-18 00:00:00,15.047897,76.632772,7000
India,NMDC Kumaraswamy Mine,,"10,000",operating,National Mineral Development Corp Ltd [100.0%],National Mineral Development Corp Ltd [100.0%],"15.009585, 76.598638",exact,Karnataka,Oceania,https://gem.wiki/NMDC_Kumaraswamy_Mine,"195,170",unknown,6203,6850,1991-11-18 00:00:00,15.009585,76.598638,10000
India,NPSPL Roida Mine,,"3,500",operating,Narbheram Power and Steel Pvt Ltd [100.0%],--,"22.040317, 85.366643",exact,Odisha,Oceania,https://gem.wiki/NPSPL_Roida_Mine,"41,132","46,942",2872,1527,1957,22.040317,85.366643,3500
India,OMC Banspani Mine,,"1,000",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.965699, 85.417538",exact,Odisha,Oceania,https://gem.wiki/OMC_Banspani_Mine,"14,730",unknown,728,0,1966-05-21 00:00:00,21.965699,85.417538,1000
India,OMC Daitari Mine,,"6,000",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.105561, 85.806755",exact,Odisha,Oceania,https://gem.wiki/OMC_Daitari_Mine,"159,080","196,722",3717.399999999998,1559.9999999999986,1967-02-18 00:00:00,21.105561,85.806755,6000
India,OMC Dubna Sakradihi Mine,,"3,000",proposed,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.835705, 85.380887",exact,Odisha,Oceania,https://gem.wiki/OMC_Dubna_Sakradihi_Mine,"20,020","27,127",,,unknown,21.835705,85.380887,3000
India,OMC Gandhamardan A Mine,,"2,880",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.633018, 85.505024",exact,Odisha,Oceania,https://gem.wiki/OMC_Gandhamardan_A_Mine,"23,719",unknown,165,156,1963-06-21 00:00:00,21.633018,85.505024,2880
India,OMC Gandhamardan B Mine,,"9,120",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.619800, 85.511095",exact,Odisha,Oceania,https://gem.wiki/OMC_Gandhamardan_B_Mine,"223,228","302,152",7030,7280,1970-07-11 00:00:00,21.6198,85.511095,9120
India,OMC Guali Mine,,"12,000",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.994285, 85.311181",exact,Odisha,Oceania,https://gem.wiki/OMC_Guali_Mine,"160,136","196,707",5699,5700,1953,21.994285,85.311181,12000
India,OMC Jilling-Langalotta Mine,,"6,280",operating,Odisha Mining Corporation Ltd [100.0%],Odisha Mining Corporation Ltd [100.0%],"21.950588, 85.431212",exact,Odisha,Oceania,https://gem.wiki/OMC_Jilling-Langalotta_Mine,"80,199","145,708",6280,5653,2021-02-27 00:00:00,21.950588,85.431212,6280
