gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url,capacity_mt_display
T1382,T01382,Wadhwan Port,India,Wadhwan Port Coal Terminal,Vadhavan Port,25,proposed,,,Approximate,"Jawaharlal Nehru Port Trust, Maharashtra Maritime Board",19.933349,72.664271,Maharashtra,Asia,https://www.gem.wiki/Wadhwan_Port,25
T1437,T01437,,Indonesia,Aceh Selatan Coal Terminal,,*,cancelled,,,Approximate,,3.133333,97.45,Sumatra,Asia,https://www.gem.wiki/Aceh_Selatan_coal_terminal,
T1215,T01215,Tanah Merah,Indonesia,Adang Bay Anchorage Coal Terminal,,21.8,operating,,,Exact,Kideco Jaya Agung,-1.697955,116.31968,East Kalimantan,Asia,https://www.gem.wiki/Adang_Bay_Port,21.8
T1218,T01218,,Indonesia,Apar Bay Anchorage Coal Terminal,,1,operating,,,Exact,,-1.9,116.616667,East Kalimantan,Asia,https://www.gem.wiki/Apar_Bay_anchorage,1
T1205,T01205,,Indonesia,Asam Asam Coal Terminal,,12,operating,,,Exact,PT Mitratama Perkasa,-3.958783385,115.1387205,South Kalimantan,Asia,https://www.gem.wiki/Asam_Asam_coal_terminal,12
T1210,T01210,,Indonesia,Balikpapan Coal Terminal,,21,construction,2025,,Exact,PT Dermaga Perkasapratama,-1.197841,116.786717,East Kalimantan,Asia,https://www.gem.wiki/Balikpapan_Coal_Terminal,21
T1210,T11210,,Indonesia,Balikpapan Coal Terminal,,24,operating,,,Exact,PT Dermaga Perkasapratama,-1.197841,116.786717,East Kalimantan,Asia,https://www.gem.wiki/Balikpapan_Coal_Terminal,24
T2001,T01356,Banjamarsin,Indonesia,Banjamarsin Port,"Taboneo / Banjamarsin, Trisakti",100,operating,,,Exact,PT Pelabuhan Indonesia (Persero) ,-3.324641684,114.5583666,South Kalimantan,Asia,https://www.gem.wiki/Banjamarsin_Port,100
T1433,T01433,,Indonesia,Banten Coal Terminal,,7,operating,2020,,Approximate,PT PLN Persero,-6.5,106.25,Java,Asia,https://www.gem.wiki/Banten_Coal_Terminal,7
T1434,T01434,,Indonesia,Batulicin Coal Terminal,,6,operating,2013,,Exact,PT Bina Indo Raya,-3.745445447,115.6363675,South Kalimantan,Asia,https://www.gem.wiki/Batulicin_coal_terminal,6
T1196,T01196,Bengkulu Port,Indonesia,Bengkulu Port Bengkulu Port,,5.47,operating,,,Exact,,-3.877778,102.2625,East Kalimantan,Asia,https://www.gem.wiki/Bengkulu_Port,5.47
T1211,T01211,,Indonesia,Bontang Coal Terminal,,18.5,operating,,,Exact,PT Indominco Mandiri,0.0291824,117.5164604,East Kalimantan,Asia,https://www.gem.wiki/Bontang_Coal_Terminal,18.5
T1435,T01435,,Indonesia,Borneo Coal Terminal,,*,shelved,,,Approximate,,1,114,Borneo Island,Asia,https://www.gem.wiki/Borneo_coal_terminal,
T2002,T11400,,Indonesia,Bunati Port,"Sebamban, Boenati",30,operating,,,Exact,PT Borneo Indobara,-3.744004162,115.6471027,South Kalimantan ,Asia,https://www.gem.wiki/Bunati_Port_Coal_Terminal,30
T1201,T01201,,Indonesia,Cigading International Bulk Terminal,,7.5,operating,,,Exact,,-6.12,106.150278,West Java,Asia,https://www.gem.wiki/Cigading_anchorage,7.5
T1193,T01193,Cirebon Port,Indonesia,Cirebon Port Coal Terminal,,3,operating,,,Exact,Port Authority of Tanjung Priok,-6.709722,108.572778,West Java,Asia,https://www.gem.wiki/Cirebon_Port,3
T1190,T01190,,Indonesia,Hasnur Pendang Coal Terminal,,2,operating,,,Exact,PT Hasnur Internasional Shipping,-1.500313224,114.8828797,Central Kalimantan,Asia,https://www.gem.wiki/Hasnur_Pendang_Coal_Terminal,2
T1197,T01197,,Indonesia,Hasnur Sangai Puting Coal Terminal,,6,operating,,,Exact,PT Hasnur Internasional Shipping,-2.938657573,114.8934948,South Kalimantan,Asia,https://www.gem.wiki/Hasnur_Sangai_Puting_Coal_Terminal,6
T1221,T01221,,Indonesia,Jorong Anchorage Coal Terminal,,*,operating,,,Exact,PT Indo Tambangraya Megah Tbk,-4.274088504,115.0592312,South Kalimantan,Asia,https://www.gem.wiki/Jorong_Anchorage,
T1200,T01200,,Indonesia,Kertapati Coal Port Terminal,,7,operating,,,Exact,PT Bukit Asam Tbk,-3.017551419,104.7483427,Sumatra,Asia,https://www.gem.wiki/Kertapati_Coal_Port,7
T1187,T01187,,Indonesia,Labuhan Angin Coal Terminal,,0.87,operating,,,Exact,PT PLN Persero,1.7519953,98.7305152,North Sumatra,Asia,https://www.gem.wiki/Labuhan_Angin_coal_terminal,0.87
T1204,T01204,,Indonesia,Lubuk Tutung Coal Terminal,Bengalon,12,operating,,,Exact,PT Nusa Tambang Pratama,0.7619412858,117.7535466,East Kalimantan,Asia,https://www.gem.wiki/Lubuk_Tutung_Coal_Terminal,12
T1436,T01436,,Indonesia,Maloy Coal Terminal,,*,shelved,,,Exact,,0.9169759,117.9832077,East Kalimantan,Asia,https://www.gem.wiki/Maloy_coal_terminal,
T1224,T01224,,Indonesia,Muara Banyu Asin Anchorage Coal Terminal,"Muara Banyuasin, Tanjung Kampeh",34.4,operating,,,Exact,,-2.18342,104.93438,Sumatra,Asia,https://www.gem.wiki/Muara_Banyu_Asin_anchorage,34.4
T1216,T01216,,Indonesia,Muara Berau Anchorage Coal Terminal,,40.9,operating,,,Approximate,,-0.2750333092,117.5938858,East Kalimantan,Asia,https://www.gem.wiki/Muara_Berau/Muara_Jawa_Coal_Terminal,40.9
T1217,T01217,,Indonesia,Muara Jawa Anchorage Coal Terminal,,*,operating,,,Approximate,,-1.080177106,117.2464783,East Kalimantan,Asia,https://www.gem.wiki/Muara_Jawa_anchorage,
T1219,T01219,,Indonesia,Muara Pantai Coal Anchorage Terminal,,30,operating,,,Exact,PT Berau Coal Energy Tbk,1.985,118.141667,East Kalimantan,Asia,https://www.gem.wiki/Muara_Pantai_Coal_Anchorage,30
T1225,T01225,Port of Jambi,Indonesia,Muara Sabak Coal Anchorage Terminal,,5.9,operating,,,Exact,,-0.897222,103.813889,Sumatra,Asia,https://www.gem.wiki/Muara_Sabak_coal_anchorage,5.9
T1202,T01202,,Indonesia,Muara Satui Barge Port Coal Terminal,,15,operating,,,Exact,PT Arutmin Indonesia,-3.966210405,115.5195088,South Kalimantan,Asia,https://www.gem.wiki/Muara_Satui_Barge_Port,15
T1208,T01208,,Indonesia,North Pulau Laut Coal Terminal,NPLCT ,13.2,operating,1994,,Exact,PT Arutmin Indonesia,-3.216402,116.286592,South Kalimantan,Asia,https://www.gem.wiki/North_Pulau_Laut_Coal_Terminal,13.2
T1195,T01195,,Indonesia,Paiton Coal Terminal,,4,operating,,,Exact,PT Paiton Energy,-7.712778,113.591667,East Java,Asia,https://www.gem.wiki/Paiton_coal_terminal,4
T1188,T01188,,Indonesia,Perkasa Jetty,,1.2,operating,,,Exact,PT Bayan Resources Tbk,0.7655067032,117.7629866,East Kalimantan,Asia,https://www.gem.wiki/Perkasa_Jetty,1.2
T1203,T01203,,Indonesia,Pulau Baai Coal Terminal,,10,operating,,,Exact,PT Pelabuhan Indonesia II,-3.918953,102.279217,Sumatra,Asia,https://www.gem.wiki/Pulau_Baai_Coal_Terminal,10
T1207,T01207,,Indonesia,Pulau Laut Coal Terminal,"IBT, South Pulau Laut",12,operating,1997,,Exact,PT Indonesia Bulk Terminal ,-4.02805736,116.0425944,South Kalimantan,Asia,https://www.gem.wiki/Pulau_Laut_Coal_Terminal,12
T1185,T01185,,Indonesia,Riau Coal Terminal,,3.6,operating,2017,,Approximate,BlackGold Group,-0.458,102.654,Sumatra,Asia,https://www.gem.wiki/Riau_coal_terminal,3.6
T1198,T01198,Samarinda Port (TBC) ,Indonesia,Samarinda Anchorage Port,,6,operating,,,Exact,,-1.083333,117.25,East Kalimantan,Asia,https://www.gem.wiki/Samarinda_anchorage,6
T2039,T11355,,Indonesia,Samarinda Port Coal Terminal,,74,operating,,,Exact,PT Pelabuhan Indonesia ,-0.5074632875,117.155309,East Kalimantan,Asia,https://www.gem.wiki/Samarinda_Port_Coal_Terminal,74
T1223,T01223,,Indonesia,Sebuku Anchorage Coal Terminal,,*,operating,,,Exact,,-3.821764959,116.351427,South Kalimantan,Asia,https://www.gem.wiki/Sebuku_anchorage,
T1212,T01212,,Indonesia,Separi Barge Loading Facility Coal Terminal,,20,operating,,,Exact,HarumEnergy,-0.321863,117.079411,East Kalimantan,Asia,https://www.gem.wiki/Separi_barge_loading_facility,20
T1025,T01025,Sumsel Port,Indonesia,Sumsel Coal Terminal,,*,cancelled,,,Exact,,-2.75,103.833333,Sumatra,Asia,https://www.gem.wiki/Sumsel_coal_terminal,
T1024,T01024,Sungai Danau Port,Indonesia,Sungai Danau Coal Terminal,,*,cancelled,,,Approximate,,-2.5,115.5,South Kalimantan,Asia,https://www.gem.wiki/Sungai_Danau_coal_terminal,
T1194,T01194,,Indonesia,Suralaya Coal Terminal,,3.75,operating,,,Exact,PT PLN Persero,-5.8864,106.02828,West Java,Asia,https://www.gem.wiki/Suralaya_coal_terminal,3.75
T1199,T01199,Banjamarsin,Indonesia,Taboneo Anchorage Banjamarsin Port,Taboneo / Banjamarsin,6,operating,,,Exact,PT Southern Mineral Resources ,-3.639518,114.455566,South Kalimantan,Asia,https://www.gem.wiki/Taboneo_anchorage,6
T1357,T11357,Jambi Port,Indonesia,Talang Duku Port Coal Terminal,,*,operating,,,Exact,,-1.581944,103.623139,Jambi,Asia,https://www.gem.wiki/Talang_Duku_Port_Coal_Terminal,
T1214,T01214,,Indonesia,Tanah Merah Coal Terminal,,40,operating,,,Exact,Kideco Jaya Agung,-1.821375512,116.1576647,East Kalimantan,Asia,https://www.gem.wiki/Tanah_Merah_Coal_terminal,40
T2048,T11359,,Indonesia,Tanjung Api-Api Coal Terminal,,*,operating,2019,,Exact,,-2.37351,104.805223,South Sumatra,Asia,https://www.gem.wiki/Tanjung_Api-Api_Coal_Terminal,
T1186,T01186,,Indonesia,Tanjung Bara Coal Terminal,,38,operating,1991,,Exact,PT Kaltim Prima Coal,0.531284,117.64555,East Kalimantan,Asia,https://www.gem.wiki/Tanjung_Bara_Coal_Terminal,38
T1385,T01385,Tanjung Carat Port,Indonesia,Tanjung Carat Port Coal Terminal,,50,proposed,2027,,Exact,PT Pelabuhan Indonesia II,-2.287782449,104.88583,South Sumatra,Asia,https://www.gem.wiki/Tanjung_Carat_Port,50
T1191,T01191,Tanjung IntanCilacap Port,Indonesia,Tanjung Intan-Cilacap Port Coal Terminal,,2,operating,,,Exact,PT Pelindo II,-7.73255873,108.9953164,Central Java,Asia,https://www.gem.wiki/Port_of_Tanjung_Intan_Cilacap,2
T1209,T01209,,Indonesia,Tanjung Jati Coal Terminal,,14,operating,,,Exact,PT PLN Persero,-6.446488,110.742359,Central Java,Asia,https://www.gem.wiki/Tanjung_Jati_Coal_Terminal,14
T1222,T01222,,Indonesia,Tanjung Pemancingan Anchorage Coal Terminal,,13.5,operating,,,Exact,,-3.191667,116.363889,South Kalimantan,Asia,https://www.gem.wiki/Tanjung_Pemancingan_anchorage,13.5
T1213,T01213,Tarahan Port,Indonesia,Tarahan Coal Port Coal Terminal,,25,operating,2015,,Exact,PT Bukit Asam Tbk,-5.515794453,105.3439895,Sumatra,Asia,https://www.gem.wiki/Tarahan_Coal_Port,25
