gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url
T1135,T01135,Plomin Port,Croatia,Plomin Port Coal Jetty,,1,Operating,-,-,Exact,-,45.128456,14.185213,Istria,Europe,https://www.gem.wiki/Plomin_Port
T1136,T01136,Port of Alexandria,Egypt,Port of Alexandria Coal Terminal,,0.1,Operating,-,-,Exact,El-Nasr Company,31.184799,29.874193,,Africa,https://www.gem.wiki/Port_of_Alexandria_Coal_Terminal
T1137,T01137,Port Safaga,Egypt,Safaga Port Coal Terminal,,4.17,Operating,-,-,Exact,Safaga Port Authority,26.74512136,33.94444379,Red Sea,Africa,https://www.gem.wiki/Safaga_Port
T1138,T01138,Port of Dunkerque,France,Dunkirk Coal Port,,6,Operating,-,-,Exact,-,51.042292,2.373243,,Europe,https://www.gem.wiki/Dunkirk_Coal_Port
T2019,T01352,Port of Le Havre,France,Le Havre Coal Terminal,,0.2,Operating,-,-,Exact,-,49.481621,0.120444,Le Havre,Europe,https://www.gem.wiki/Le_Havre_Coal_Terminal
T2035,T11351,Port of Sete,France,Port of Sete Coal Terminal,,0.3,Operating,-,-,Exact,-,43.4166,3.7,,Europe,https://www.gem.wiki/Port_of_Sete_Coal_Terminal
T1353,T01353,Port of Duisburg,Germany,Duisburg Gateway Coal Terminal,,6.2,Operating,-,-,Exact,-,51.426278,6.739778,Duisburg,Europe,https://www.gem.wiki/Duisburg_Gateway_Coal_Terminal
T1146,T01146,Gluckstadt Port,Germany,Gluckstadt Port Coal Terminal,,0.13,Operating,1994,-,Exact,Schramm Group,53.7855167,9.4204223,Lower Saxony,Europe,https://www.gem.wiki/Gluckstadt_Port
T1142,T01142,Port of Bremen,Germany,Port of Bremen Coal Terminal,,78.8,Operating,-,-,Exact,Bremenports GmbH & Co. KG,53.0909314,8.7727547,Bremen,Europe,https://www.gem.wiki/Port_of_Bremen
T1145,T01145,Port of Brunsbüttel,Germany,Port of Brunsbüttel Coal Terminal,,13.7,Operating,1967,-,Exact,Schramm Group,53.8961963,9.1482639,Schleswig-Holstein,Europe,https://www.gem.wiki/Port_of_Brunsbuttel
T1149,T01149,Port of Flensburg,Germany,Port of Flensburg Coal Terminal,,0.5,Operating,-,-,Exact,Flensburger Hafen GmbH,54.8035543,9.443264,Schleswig-Holstein,Europe,https://www.gem.wiki/Port_of_Flensburg
T1140,T01140,Port of Hamburg,Germany,Port of Hamburg Coal Termainl,,4.7,Operating,-,-,Exact,Hamburg Port Authority,53.546111,9.966111,Lower Saxony,Europe,https://www.gem.wiki/Port_of_Hamburg
T1151,T01151,Port of Kiel,Germany,Port of Kiel Coal Terminal,,7,Operating,-,-,Exact,Seehafen Kiel GmbH,54.3201278,10.1492214,Schleswig-Holstein,Europe,https://www.gem.wiki/Port_of_Kiel
T1139,T01139,Port of Nordenham,Germany,Port of Nordenham Coal Terminal,,2.7,Operating,-,-,Exact,Rhenus Midgard,53.4868709,8.4916592,Lower Saxony,Europe,https://www.gem.wiki/Port_of_Nordenham
T1150,T01150,Port of Stade,Germany,Port of Stade Coal Terminal,,5.3,Operating,-,-,Exact,Hafenbetriebs GmbH,53.655494,9.508296,Lower Saxony,Europe,https://www.gem.wiki/Port_of_Stade
T1144,T01144,Port of Stralsund,Germany,Port of Stralsund Coal Terminal,,1.9,Operating,-,-,Exact,SWS Seehafen Stralsund GmbH,54.316332,13.097124,Mecklenburg-Vorpommern,Europe,https://www.gem.wiki/Port_of_Stralsund
T1143,T01143,Port of Wilhelmshaven,Germany,Port of Wilhelmshaven Coal Terminal,,10,Operating,-,-,Exact,Niedersachsen Ports GmbH & Co. KG,53.58357759,8.156150977,Lower Saxony,Europe,https://www.gem.wiki/Port_of_Wilhelmshaven
T1141,T01141,Port of Wismar,Germany,Port of Wismar Coal Terminal,,8,Operating,-,-,Exact,Seehafen Wismar GmbH,53.9,11.466667,Mecklenburg-Vorpommern,Europe,https://www.gem.wiki/Port_of_Wismar
T1147,T01147,Rendsburg Port,Germany,Rendsburg Port Coal Terminal,,0.42,Operating,2012,-,Exact,Schramm Group,54.290833,9.674444,Schleswig-Holstein,Europe,https://www.gem.wiki/Rendsburg_Port
T1148,T01148,Rostock Port,Germany,Rostock Port Coal Terminal,,22.5,Operating,1950,-,Exact,Rostock Port GmbH,54.1479,12.115306,Mecklenburg-Vorpommern,Europe,https://www.gem.wiki/Rostock_Port
T1152,T01152,Port of Quetzal San José,Guatemala,Port of Quetzal San José Coal Terminal,Puerto Quetzal San José Terminal,*,Operating,-,-,Exact,Quetzal Port Company,13.92921962,-90.79623589,Escuintla,Americas,https://www.gem.wiki/Port_of_Quetzal_San_Jos%C3%A9_Terminal
T2040,T11354,Port of Hong Kong,Hong Kong,Seafront Coal Terminals,"Tap Shek Kok, Po Lo Tsui ",*,Operating,-,-,Exact,Hong Kong Maritime and Port Board,22.309083,114.160083,,Asia,https://www.gem.wiki/Seafront_Coal_Terminals
T1383,T01383,Hazira Port,India,Adani Hazira Port Coal Terminal,,*,Proposed,-,-,Exact,Adani Group,21.08233954,72.62723141,Gujarat,Asia,https://www.gem.wiki/Hazira_Port_(Adani)
T1180,T01180,Bedi Port,India,Bedi Port Coal Terminal,,6,Operating,-,-,Exact,Gujarat Maritime Board,22.515273,70.029323,Gujarat,Asia,https://www.gem.wiki/Bedi_Port
T1183,T01183,Cochin Port,India,Cochin Port Coal Terminal,,35,Operating,-,-,Exact,Cochin Port Trust,9.961316,76.265212,Kerala,Asia,https://www.gem.wiki/Cochin_Port
T1022,T01022,Cochin Port,India,Cochin Port Terminal,,4.25,Cancelled,-,-,Exact,Adani Group,9.961316,76.265212,Kerala,Asia,https://www.gem.wiki/Cochin_Port
T1019,T01019,Dahanu Port,India,Dahanu Port Terminal,,*,Cancelled,-,-,Exact,Maharashtra Maritime Board,19.97,72.73,Maharashtra,Asia,https://www.gem.wiki/Dahanu_Port
T1155,T01155,Dahej Port,India,Dahej Port Coal Terminal,,20,Operating,-,-,Exact,Adani Group,21.692444,72.534056,Gujarat,Asia,https://www.gem.wiki/Dahej_Port
T1054,T01054,Dhamra Port,India,Dhamra Port Coal Terminal,Phase II,144.5,Construction,-,-,Exact,Adani Group,20.823283,86.964602,Odisha,Asia,https://www.gem.wiki/Dhamra_Port
T1054,T01154,Dhamra Port,India,Dhamra Port Coal Terminal,,25,Operating,-,-,Exact,Adani Group,20.823283,86.964602,Odisha,Asia,https://www.gem.wiki/Dhamra_Port
T1054,T01376,Dhamra Port,India,Dhamra Port Coal Terminal,Phase III,144.5,Proposed,-,-,Exact,Adani Group,20.823283,86.964602,Odisha,Asia,https://www.gem.wiki/Dhamra_Port
T1162,T01162,Paradip Port,India,East Quay Coal Terminal,,30,Operating,2022,-,Exact,JSW Infrastructure,20.278703,86.671786,Odisha,Asia,https://www.gem.wiki/Paradip_Port
T1178,T01178,Gangavaram Port,India,Gangavaram Port Coal Terminal,,20,Operating,-,-,Exact,Gangavaram Port Ltd.,17.616667,83.233333,Andhra Pradesh,Asia,https://www.gem.wiki/Gangavaram_Port
